SlNo,Mnemonic,Command,Delay,Argument,Read,ReadBinary,Port
1,setBitRateLowBW,tms;1;Float,0,TRUE,FALSE,TRUE,Control
2,setSubCarrierFrequency,tms;2;Float,0,TRUE,FALSE,TRUE,Control
3,setCarrierFrequency,ifm;1;Float,0,TRUE,FALSE,TRUE,Control
4,setPeakFrequencyDeviationTCU,ifm;2;Float,0,TRUE,FALSE,TRUE,Control
5,setPeakFrequencyDeviationTMS1,ifm;4;Float,0,TRUE,FALSE,TRUE,Control
6,setModIndexTCU,ifm;5;Float,0,TRUE,FALSE,TRUE,Control
7,setModIndexTMS1,ifm;7;Float,0,TRUE,FALSE,TRUE,Control
8,setOperatingModeIFM,ifm;8;Int,0,TRUE,FALSE,TRUE,Control
9,setModulationSignal,ifm;9;Int,0,TRUE,FALSE,TRUE,Control
10,setModulation,ifm;10;Int,0,TRUE,FALSE,TRUE,Control
11,setIFCarrier,ifm;11;Int,0,TRUE,FALSE,TRUE,Control
12,setIFCarrierLevel,ifm;12;Float,0,TRUE,FALSE,TRUE,Control
13,setSweepState,ifm;13;Int,0,TRUE,FALSE,TRUE,Control
14,setSweepRate,ifm;14;Float,0,TRUE,FALSE,TRUE,Control
15,setSweepRange,ifm;15;Float,0,TRUE,FALSE,TRUE,Control
16,setSweepStep,ifm;26;Float,0,TRUE,FALSE,TRUE,Control
17,setOnlyTone,ifm;9;Int,0,TRUE,FALSE,TRUE,Control
18,setTCAndTone,ifm;9;Int,0,TRUE,FALSE,TRUE,Control
19,setChipRate,tcu;5;Float,0,TRUE,FALSE,TRUE,Control
20,getIdlePattern,tcu;57;Int,0,FALSE,TRUE,TRUE,Monitor
21,setDopplerCompensation,tcu;35;Int,0,True,FALSE,TRUE,Doppler
22,getTimeStamp,global;47;Int,0,FALSE,TRUE,TRUE,Monitor
23,getCurrentDopplerStatus,ifm;47;Int,0,FALSE,TRUE,TRUE,Monitor
