SlNo,Mnemonic,Command,Delay,Argument,Read,ReadBinary,Port
1,getAmplitudeTrace,TRAC? TRACE1,0.1,FALSE,TRUE,FALSE,Control
2,getCenterFrequency,:SENS:FREQ:CENT?,0,FALSE,TRUE,FALSE,Control
3,getChannelPower,:READ:CHP:CHP?,0.1,FALSE,TRUE,FALSE,Control
4,getDeviceMake,*IDN?,0,FALSE,TRUE,FALSE,Control
5,getError,:SYST:ERR?,0.1,FALSE,TRUE,FALSE,Control
6,getMarkerFrequency,:CALC:MARK#:FCO:X?,0.5,FALSE,TRUE,FALSE,Control
7,getMarkerX,:CALC:MARK#:X?,0.1,FALSE,TRUE,FALSE,Control
8,getMarkerY,:CALC:MARK#:Y?,0.1,FALSE,TRUE,FALSE,Control
9,getMarkerYPhaseNoise,:CALC:LPL:MARK#:Y?,0.5,FALSE,TRUE,FALSE,Control
10,getNdBBandwidth,CALC:BAND:RES?,0.1,FALSE,TRUE,FALSE,Control
11,getOperationWait,*OPC?,0.1,FALSE,TRUE,FALSE,Control
12,getPeakTable,:CALCulate:MARKer:PEAK:TABLe:READout?,0.5,FALSE,TRUE,FALSE,Control
13,getRBW,:SENS:BAND:RES?,0.1,FALSE,TRUE,FALSE,Control
14,getReferenceLevel,:DISP:WIND:TRAC:Y:SCAL:RLEV?,0,FALSE,TRUE,FALSE,Control
15,getScreenDump,:MMEM:DATA?,2,TRUE,TRUE,TRUE,Control
16,getSpan,:SENS:FREQ:SPAN?,0.1,FALSE,TRUE,FALSE,Control
17,getSweepTime,:SENS:SWE:TIME?,0.1,FALSE,TRUE,FALSE,Control
18,getVBW,:SENS:BAND:VID?,0,FALSE,TRUE,FALSE,Control
19,setAllMarkerOff,:CALC:MARK:AOFF,0,FALSE,FALSE,FALSE,Control
20,setAmplitudeScale,:DISP:WIND:TRAC:Y:SCAL:PDIV,0.5,TRUE,FALSE,FALSE,Control
21,setAutoAlign,:CAL:AUTO,0,TRUE,FALSE,FALSE,Control
22,setAutoTune,:SENS:FREQ:CARR:SEAR,0,FALSE,FALSE,FALSE,Control
23,setAverageNoChannelPower,:CHP:AVER:COUN,0,TRUE,FALSE,FALSE,Control
24,setAverageOnChannelPower,:CHP:AVER,0,TRUE,FALSE,FALSE,Control
25,setBandwidthState,:CALC:BAND:STATE,0.25,TRUE,FALSE,FALSE,Control
26,setCenterFrequency,:SENS:FREQ:CENT,0,TRUE,FALSE,FALSE,Control
27,setClearScreen,*CLS,0,FALSE,FALSE,FALSE,Control
28,setClearStatus,*CLS,0,TRUE,FALSE,FALSE,Control
29,setContinuousSweep,:INITiate:CONTinuous 1,0,FALSE,FALSE,FALSE,Control
30,setCounterGate,:CALCulate:MARKer#:FCOunt:GATetime,0.1,TRUE,FALSE,FALSE,Control
31,setDecadeTable,:DISP:LPL:VIEW DEC,0,FALSE,FALSE,FALSE,Control
32,setDeletePicture,:MMEM:DEL,1,TRUE,FALSE,FALSE,Control
33,setFullScreen,:DISP:FSCR:STAT ON,0,FALSE,FALSE,FALSE,Control
34,setIntegratedBW,:CHP:BAND:INT,0,TRUE,FALSE,FALSE,Control
35,setMarkerFrequencyCounterMode,:CALC:MARK#:FCO:STAT,0,TRUE,FALSE,FALSE,Control
36,setMarkerFrequencyCounterResolution,:CALC:MARK#:FCO:RES,0,TRUE,FALSE,FALSE,Control
37,setMarkerLeftPeak,:CALC:MARK#:MAX:LEFT,0,FALSE,FALSE,FALSE,Control
38,setMarkerMax,:CALC:MARK#:MAX:PEAK,0,FALSE,FALSE,FALSE,Control
