SlNo,Mnemonic,Command,Delay,Argument,Read,ReadBinary,Port
1,setCarrierFrequency,ifm;1;Float,0,TRUE,FALSE,TRUE,Control
2,setPeakFrequencyDeviationTCU,ifm;2;Float,0,TRUE,FALSE,TRUE,Control
3,setPeakFrequencyDeviationTone,ifm;3;Float,0,TRUE,FALSE,TRUE,Control
4,setModIndexTCU,ifm;5;Float,0,TRUE,FALSE,TRUE,Control
5,setModIndexTone,ifm;6;Float,0,TRUE,FALSE,TRUE,Control
6,setOperatingModeIFM,ifm;8;Int,0,TRUE,FALSE,TRUE,Control
7,setModulationSignal,ifm;9;Int,0,TRUE,FALSE,TRUE,Control
8,setModulation,ifm;10;Int,1,TRUE,FALSE,TRUE,Control
9,setIFCarrier,ifm;11;Int,1,TRUE,FALSE,TRUE,Control
10,setIFCarrierLevel,ifm;12;Float,0,TRUE,FALSE,TRUE,Control
11,setSweepState,ifm;13;Int,0,TRUE,FALSE,TRUE,Control
12,setSweepRate,ifm;14;Float,0,TRUE,FALSE,TRUE,Control
13,setSweepRange,ifm;15;Float,0,TRUE,FALSE,TRUE,Control
14,setSweepStep,ifm;54;Float,0,TRUE,FALSE,TRUE,Control
15,setSweepStepTrigger,ifm;56;Int,0,TRUE,FALSE,TRUE,Control
16,setToneFrequency,tcu;36;Float,0,TRUE,FALSE,TRUE,Control
17,setChipRate,tcu;5;Float,0,TRUE,FALSE,TRUE,Control
18,getTimeStamp,global;47;Int,0,FALSE,TRUE,TRUE,Monitor
19,getCurrentDopplerStatus,ifm;47;Int,0,FALSE,TRUE,TRUE,Monitor
